headline,label
"Trudeau announces $62.5 million for seafood, fish processors during coronavirus pandemic",0
Coronavirus: Disinfectant riff the latest of Trump’s many clashes with science,0
Coronavirus: What's happening in Canada and around the world on Saturday,0
Is it safe to go running during the coronavirus pandemic?,1
Coronavirus: Brazil emerging as world hot spot for virus,0
Trump’s role in coronavirus briefings may be reduced after disinfectant remarks: sources,0
The fight to save patients from the coronavirus at Surrey Memorial Hospital,0
"Coronavirus: Canada adds over 1,700 new cases, 161 new deaths",0
"Coronavirus: Asian-Americans turn to guns, GoPros to deter attacks",-1
"What you need to know about coronavirus on Saturday, April 25",0
Coronavirus: Plan to reopen Ontario economy will be revealed ‘early next week’,0
"Coronavirus: 2 more confirmed cases in Interior Health region, total now 158",0
Conrad Black: A path out of the coronavirus lockdown,0
Emotional burden of coronavirus on British Columbians has been significant: poll,0
"Ontario reports 640 new coronavirus cases, total reaches 13,519 with 763 deaths",0
Somali civilian shot dead by police amid coronavirus restrictions,-1
Coronavirus: Belarus orphanage seeks help amid 'critical' outbreak,1
Mandatory Face Masks And More: Canadian Airlines Introduce New Coronavirus Travel Safety Measures,1
Running is enjoying a boom because of the coronavirus pandemic,1
Coronavirus antibody testing a big deal? What to know about the promising serology tests,1
"The United States' reported coronavirus deaths approach 52,000, over a quarter of the world's known tally",1
Coronavirus: The 'good outcome' that never was,1
The 5-month-old daughter of a New York firefighter dies from coronavirus,0
How the coronavirus pandemic has shaken the US military,0
"'No Evidence' That Recovered COVID-19 Patients Are Immune, WHO Says",0
'They are trying to steal everything.' US coronavirus response hit by foreign hackers,-1
Watch the entire CNN/Sesame Street coronavirus town hall,0
Coronavirus: Further 16 deaths confirmed in NI,0
"After her husband died from coronavirus, she found an emotional goodbye note on his phone",-1
Singapore's migrant workers are suffering the brunt of the country's coronavirus outbreak,-1
10 leaders who mattered most on coronavirus response this week,0
"Coronavirus, CARES And PPP Will Explode The Federal Deficit And Debt",0
"Bleach and sunlight might kill the coronavirus on a park bench, but they can be harmful to the body",-1
"Coronavirus Has Infected A 5th Of New York City, Testing Suggests",-1
"‘Worst is yet ahead of us’ in coronavirus outbreak, WHO warns",0
‘COVID toes’ could be another symptom of coronavirus infection: experts,0
"Martinsville-region COVID-19/coronavirus daily update from state, nation and world: April 25",0
Cleaning a floating petri dish: How is a cruise ship sanitized after a coronavirus outbreak?,0
Can coronavirus cases be deduced from sewage? An MIT start-up tried it in Delaware and the governor wasn’t imp,0
"Citing a high risk of death, researchers cut chloroquine coronavirus study short over safety concerns",-1
